open,high,low,close,volume,vwap,timestamp,transactions,otc
498.81,498.93,497.55,498.06,165703.0,498.0526,1744212720000,2250,
498.13,498.13,496.87,497.3,194467.0,497.3794,1744212780000,3061,
497.21,497.66,497.13,497.24,126994.0,497.3647,1744212840000,1761,
497.23,497.79,496.32,496.32,235345.0,496.8892,1744212900000,3254,
496.35,497.41,496.24,497.05,110802.0,496.9037,1744212960000,1650,
497.06,497.93,496.98,497.335,101802.0,497.4243,1744213020000,1602,
497.3,497.58,496.76,497.04,103975.0,497.1973,1744213080000,1767,
497.02,497.11,495.93,495.98,225666.0,496.3119,1744213140000,3087,
495.96,496.44,495.91,496.155,84126.0,496.206,1744213200000,1435,
496.145,496.32,495.2801,495.43,185500.0,495.5884,1744213260000,2478,
495.39,495.71,495.02,495.3399,193975.0,495.3574,1744213320000,2487,
495.31,495.7,495.18,495.6,87697.0,495.495,1744213380000,1508,
495.62,495.6354,494.83,495.275,543390.0,495.6222,1744213440000,2174,
495.24,496.2461,495.24,495.98,175619.0,495.8745,1744213500000,2621,
496.01,496.25,495.74,496.17,124266.0,496.0213,1744213560000,1825,
496.16,498.5,496.01,497.72,494301.0,497.6085,1744213620000,5910,
497.74,498.7,497.32,498.6,335942.0,497.9933,1744213680000,3992,
498.54,499.05,497.39,497.655,237329.0,498.2205,1744213740000,2807,
497.6175,498.35,497.11,498.1,134337.0,497.6354,1744213800000,1858,
498.06,498.24,497.47,497.67,108295.0,497.8266,1744213860000,1615,
497.72,497.98,497.5,497.95,57923.0,497.768,1744213920000,1136,
497.92,498.23,497.21,497.27,76568.0,497.6943,1744213980000,1275,
497.21,497.51,496.48,496.88,216022.0,496.9875,1744214040000,2792,
496.84,497.02,496.22,496.25,88113.0,496.5428,1744214100000,1333,
496.24,496.24,495.51,495.92,91981.0,495.8186,1744214160000,1557,
495.93,496.04,495.5,495.59,134202.0,495.6749,1744214220000,1825,
495.64,496.08,495.46,495.49,106949.0,495.7497,1744214280000,1767,
495.45,496.18,495.28,495.975,113982.0,495.8738,1744214340000,1690,
495.95,496.11,495.16,495.2671,134486.0,495.4696,1744214400000,2240,
495.29,495.36,494.77,495.02,114393.0,495.0385,1744214460000,2053,
495.13,495.98,495.01,495.94,85543.0,495.6163,1744214520000,1564,
495.9,496.7,495.58,496.06,189202.0,496.2475,1744214580000,2426,
496.06,496.26,495.66,495.69,105699.0,496.0629,1744214640000,1166,
495.7,496.62,495.47,496.54,112865.0,496.173,1744214700000,1751,
496.505,496.99,496.24,496.25,95735.0,496.6172,1744214760000,1509,
496.22,496.93,496.05,496.9156,79786.0,496.4613,1744214820000,1371,
496.76,497.1211,496.63,497.03,83767.0,496.9206,1744214880000,1199,
497.04,497.82,497.0301,497.54,136434.0,497.5146,1744214940000,2119,
497.57,498.23,497.13,497.981,141330.0,497.8563,1744215000000,1914,
498.08,498.33,497.77,498.28,78235.0,498.1217,1744215060000,1384,
498.32,498.74,498.17,498.7399,142592.0,498.4689,1744215120000,2248,
498.75,499.61,498.75,499.59,194023.0,499.267,1744215180000,2945,
499.57,500.39,499.57,499.89,198439.0,499.9947,1744215240000,2775,
