Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year,Daily_Return,Log_Return,Price_Range,Close_to_Open_Change,Average_Price,Lagged_Close,Lagged_Volume,Volume_MA5,Volume_Ratio,Lagged_Return,Rolling_Volatility,Day_of_Week,Week_of_Year,Close_to_High_Ratio,Next_Day_Volatility
1993-03-15,25.078616235667265,25.217748641967773,25.078616235667265,25.217748641967773,310800.0,15,0,11,3,1993,0.004851442481985657,0.004839712158933895,0.13913240630050794,0.13913240630050794,25.17137117320094,25.095996856689453,643600.0,277800.0,1.118790496760259,-0.010287942179133758,0.005800553520007965,0,11,0.0,0.00577951923872301
1993-03-16,25.217748641967773,25.28731484511803,25.217748641967773,25.217748641967773,30800.0,16,1,11,3,1993,0.0,0.0,0.06956620315025575,0.0,25.240937376351194,25.217748641967773,310800.0,250100.0,0.12315073970411836,0.004851442481985657,0.00577951923872301,1,11,-1.0,0.005788730663074864
1993-03-17,25.18295908602967,25.18295908602967,25.026435169058487,25.06121826171875,21800.0,17,2,11,3,1993,-0.006207151259669641,-0.006226495713896269,0.15652391697118162,-0.12174082431091904,25.09020417226897,25.217748641967773,30800.0,215580.0,0.10112255311253363,0.0,0.005788730663074864,2,11,-0.7777777777777778,0.007090334992673983
1993-03-18,25.165573989605083,25.322097946693155,25.165573989605083,25.217748641967773,59300.0,18,3,11,3,1993,0.006245920633799473,0.006226495713896216,0.15652395708807276,0.05217465236269092,25.23514019275534,25.06121826171875,21800.0,213260.0,0.2780643346150239,-0.006207151259669641,0.007090334992673983,3,11,-0.6666666666666666,0.005027096942882824
1993-03-19,25.319372089764546,25.319372089764546,25.179582595825195,25.179582595825195,66900.0,19,4,11,3,1993,-0.0015134596939816447,-0.0015146061309744242,0.13978949393935025,-0.13978949393935025,25.226179093804976,25.217748641967773,59300.0,97920.0,0.6832107843137255,0.006245920633799473,0.005027096942882824,4,11,-1.0,0.005019432511714237
1993-03-22,24.934948995075107,25.09221216322905,24.91747530972467,25.03979110717773,183400.0,22,0,12,3,1993,-0.005551779427457326,-0.005567247832878887,0.17473685350438117,0.10484211210262373,25.016492860043815,25.179582595825195,66900.0,72440.0,2.5317504141358365,-0.0015134596939816447,0.005019432511714237,0,12,-0.3000000000000264,0.005248063690960133
1993-03-23,25.109684454033303,25.12715813841328,25.05726340089336,25.09221076965332,55200.0,23,1,12,3,1993,0.002093454464185296,0.0020912662418188913,0.06989473751992037,-0.017473684379982757,25.09221076965332,25.03979110717773,183400.0,77320.0,0.7139161924469736,-0.005551779427457326,0.005248063690960133,1,12,-0.4999999999999746,0.004364120951475765
1993-03-24,25.05726340089336,25.19705287593321,24.93494761023349,25.09221076965332,37200.0,24,2,12,3,1993,0.0,0.0,0.26210526569972004,0.03494736875996196,25.07473708527334,25.09221076965332,55200.0,80400.0,0.4626865671641791,0.002093454464185296,0.004364120951475765,2,12,-0.4000000000000054,0.004371495404468493
1993-03-25,25.1096840987156,25.301894624175496,25.07473673045017,25.249473571777344,110100.0,25,3,12,3,1993,0.006267395231440487,0.006247836787739095,0.2271578937253267,0.13978947306174305,25.208701642134333,25.09221076965332,37200.0,90560.0,1.215768551236749,0.0,0.004371495404468493,3,12,-0.23076923076923078,0.005090413261925354
1993-03-26,25.231997862240465,25.24947154497055,25.0922084003998,25.109682083129883,101500.0,26,4,12,3,1993,-0.005536412006772018,-0.005551794738760355,0.15726314457074864,-0.12231577911058267,25.150454009500077,25.249473571777344,110100.0,97480.0,1.0412392285597045,0.006267395231440487,0.005090413261925354,4,12,-0.8888888888889014,0.004526345621305493
