open,high,low,close,volume,vwap,timestamp,pre_market,market,after_market,date,time,time_diff,otc
565.32,565.43,565.23,565.34,52455.0,540.7465310151404,2025-05-02 10:49:00-04:00,0,1,0,2025-05-02,10:49:00,1.0,
565.3,565.62,565.18,565.4299,75996.0,540.7492750608513,2025-05-02 10:50:00-04:00,0,1,0,2025-05-02,10:50:00,1.0,
565.45,565.56,565.14,565.22,67535.0,540.7516923522614,2025-05-02 10:51:00-04:00,0,1,0,2025-05-02,10:51:00,1.0,
565.25,565.57,565.1561,565.2103,73898.0,540.7543358000916,2025-05-02 10:52:00-04:00,0,1,0,2025-05-02,10:52:00,1.0,
565.24,565.26,564.75,565.22,94927.0,540.7577319965491,2025-05-02 10:53:00-04:00,0,1,0,2025-05-02,10:53:00,1.0,
565.23,565.49,565.23,565.3104,71677.0,540.7603052290668,2025-05-02 10:54:00-04:00,0,1,0,2025-05-02,10:54:00,1.0,
565.34,565.69,565.31,565.555,82497.0,540.7632957376826,2025-05-02 10:55:00-04:00,0,1,0,2025-05-02,10:55:00,1.0,
565.55,565.66,565.37,565.48,63457.0,540.7655885998271,2025-05-02 10:56:00-04:00,0,1,0,2025-05-02,10:56:00,1.0,
565.49,565.51,565.2,565.29,55827.0,540.7675899140775,2025-05-02 10:57:00-04:00,0,1,0,2025-05-02,10:57:00,1.0,
565.22,565.47,565.17,565.43,60038.0,540.7697541072545,2025-05-02 10:58:00-04:00,0,1,0,2025-05-02,10:58:00,1.0,
565.43,565.86,565.37,565.8,94464.0,540.7732095665431,2025-05-02 10:59:00-04:00,0,1,0,2025-05-02,10:59:00,1.0,
565.8,566.13,565.72,565.9599,154771.0,540.7789051314599,2025-05-02 11:00:00-04:00,0,1,0,2025-05-02,11:00:00,1.0,
565.9498,566.07,565.9498,565.965,96060.0,540.7824395549148,2025-05-02 11:01:00-04:00,0,1,0,2025-05-02,11:01:00,1.0,
565.97,565.995,565.57,565.63,131847.0,540.7872245944341,2025-05-02 11:02:00-04:00,0,1,0,2025-05-02,11:02:00,1.0,
565.59,565.631,565.33,565.59,77128.0,540.7900183920945,2025-05-02 11:03:00-04:00,0,1,0,2025-05-02,11:03:00,1.0,
565.6,565.64,565.45,565.58,114728.0,540.7941713302613,2025-05-02 11:04:00-04:00,0,1,0,2025-05-02,11:04:00,1.0,
565.575,565.72,565.48,565.68,53452.0,540.7961135215807,2025-05-02 11:05:00-04:00,0,1,0,2025-05-02,11:05:00,1.0,
565.68,565.85,565.61,565.85,76558.0,540.7989137475815,2025-05-02 11:06:00-04:00,0,1,0,2025-05-02,11:06:00,1.0,
565.8596,565.88,565.73,565.745,54261.0,540.8008897306102,2025-05-02 11:07:00-04:00,0,1,0,2025-05-02,11:07:00,1.0,
565.74,565.82,565.4636,565.71,105845.0,540.8047379024841,2025-05-02 11:08:00-04:00,0,1,0,2025-05-02,11:08:00,1.0,
565.72,565.7558,565.37,565.37,45843.0,540.8063814840929,2025-05-02 11:09:00-04:00,0,1,0,2025-05-02,11:09:00,1.0,
565.39,565.4978,565.33,565.4888,56339.0,540.8084108388687,2025-05-02 11:10:00-04:00,0,1,0,2025-05-02,11:10:00,1.0,
565.48,565.5534,565.4,565.5,57113.0,540.8104686662945,2025-05-02 11:11:00-04:00,0,1,0,2025-05-02,11:11:00,1.0,
565.52,565.65,565.46,565.5,54181.0,540.8124205343794,2025-05-02 11:12:00-04:00,0,1,0,2025-05-02,11:12:00,1.0,
565.5,565.52,565.27,565.5,56257.0,540.8144468637179,2025-05-02 11:13:00-04:00,0,1,0,2025-05-02,11:13:00,1.0,
565.495,565.67,565.41,565.635,78735.0,540.8172977792741,2025-05-02 11:14:00-04:00,0,1,0,2025-05-02,11:14:00,1.0,
565.6297,565.894,565.47,565.86,67327.0,540.8197572002073,2025-05-02 11:15:00-04:00,0,1,0,2025-05-02,11:15:00,1.0,
565.86,565.94,565.75,565.9,78574.0,540.8226314415884,2025-05-02 11:16:00-04:00,0,1,0,2025-05-02,11:16:00,1.0,
565.9153,566.09,565.891,566.08,98945.0,540.8262758909741,2025-05-02 11:17:00-04:00,0,1,0,2025-05-02,11:17:00,1.0,
566.08,566.08,565.73,565.7955,88053.0,540.8294817425356,2025-05-02 11:18:00-04:00,0,1,0,2025-05-02,11:18:00,1.0,
565.8,565.8,565.6,565.67,45945.0,540.8311457835239,2025-05-02 11:19:00-04:00,0,1,0,2025-05-02,11:19:00,1.0,
565.64,565.66,565.4601,565.6458,67437.0,540.8335854411396,2025-05-02 11:20:00-04:00,0,1,0,2025-05-02,11:20:00,1.0,
565.64,565.7488,565.29,565.36,106624.0,540.8373973625943,2025-05-02 11:21:00-04:00,0,1,0,2025-05-02,11:21:00,1.0,
565.37,565.37,565.08,565.21,143181.0,540.8424830723993,2025-05-02 11:22:00-04:00,0,1,0,2025-05-02,11:22:00,1.0,
565.238,565.26,564.99,565.19,82628.0,540.8454145994071,2025-05-02 11:23:00-04:00,0,1,0,2025-05-02,11:23:00,1.0,
565.18,565.36,565.0093,565.2,85579.0,540.8484513265815,2025-05-02 11:24:00-04:00,0,1,0,2025-05-02,11:24:00,1.0,
565.2,565.202,564.92,565.01,71490.0,540.8509677438591,2025-05-02 11:25:00-04:00,0,1,0,2025-05-02,11:25:00,1.0,
564.98,565.0104,564.59,564.82,127423.0,540.8554164150385,2025-05-02 11:26:00-04:00,0,1,0,2025-05-02,11:26:00,1.0,
564.82,564.84,564.59,564.73,91478.0,540.8585971434178,2025-05-02 11:27:00-04:00,0,1,0,2025-05-02,11:27:00,1.0,
564.75,564.91,564.66,564.75,117786.0,540.8626947942561,2025-05-02 11:28:00-04:00,0,1,0,2025-05-02,11:28:00,1.0,
564.76,564.79,564.51,564.65,82931.0,540.8655669588891,2025-05-02 11:29:00-04:00,0,1,0,2025-05-02,11:29:00,1.0,
564.67,564.76,564.46,564.725,116876.0,540.8696263299048,2025-05-02 11:30:00-04:00,0,1,0,2025-05-02,11:30:00,1.0,
564.7479,565.375,564.73,565.35,144478.0,540.8747738935011,2025-05-02 11:31:00-04:00,0,1,0,2025-05-02,11:31:00,1.0,
565.36,565.37,565.04,565.21,44448.0,540.8763480266825,2025-05-02 11:32:00-04:00,0,1,0,2025-05-02,11:32:00,1.0,
565.2,565.28,565.085,565.26,41543.0,540.8778221174113,2025-05-02 11:33:00-04:00,0,1,0,2025-05-02,11:33:00,1.0,
565.2473,565.48,565.2473,565.41,73669.0,540.8804517915303,2025-05-02 11:34:00-04:00,0,1,0,2025-05-02,11:34:00,1.0,
565.42,565.4341,565.16,565.23,39187.0,540.8818401103607,2025-05-02 11:35:00-04:00,0,1,0,2025-05-02,11:35:00,1.0,
565.34,565.49,565.27,565.46,48970.0,540.883591185638,2025-05-02 11:36:00-04:00,0,1,0,2025-05-02,11:36:00,1.0,
565.47,565.54,565.39,565.4303,61308.0,540.8857804440721,2025-05-02 11:37:00-04:00,0,1,0,2025-05-02,11:37:00,1.0,
565.42,565.68,565.32,565.68,39994.0,540.8872229135416,2025-05-02 11:38:00-04:00,0,1,0,2025-05-02,11:38:00,1.0,
565.6849,565.83,565.6501,565.83,91557.0,540.8905444564493,2025-05-02 11:39:00-04:00,0,1,0,2025-05-02,11:39:00,1.0,
565.83,565.8799,565.69,565.85,51238.0,540.8924043942479,2025-05-02 11:40:00-04:00,0,1,0,2025-05-02,11:40:00,1.0,
565.86,565.8807,565.6322,565.75,67660.0,540.8948501862594,2025-05-02 11:41:00-04:00,0,1,0,2025-05-02,11:41:00,1.0,
565.78,565.86,565.71,565.84,69038.0,540.8973543292786,2025-05-02 11:42:00-04:00,0,1,0,2025-05-02,11:42:00,1.0,
565.84,565.88,565.74,565.8625,55915.0,540.8993839362043,2025-05-02 11:43:00-04:00,0,1,0,2025-05-02,11:43:00,1.0,
565.8701,565.93,565.76,565.85,43521.0,540.9009626454831,2025-05-02 11:44:00-04:00,0,1,0,2025-05-02,11:44:00,1.0,
565.84,565.9398,565.775,565.9,29104.0,540.9020203871524,2025-05-02 11:45:00-04:00,0,1,0,2025-05-02,11:45:00,1.0,
565.92,566.1,565.92,565.9805,67508.0,540.9044814203442,2025-05-02 11:46:00-04:00,0,1,0,2025-05-02,11:46:00,1.0,
565.99,566.01,565.78,565.8001,47054.0,540.9061841699581,2025-05-02 11:47:00-04:00,0,1,0,2025-05-02,11:47:00,1.0,
565.83,566.1199,565.8202,566.08,49195.0,540.907984160744,2025-05-02 11:48:00-04:00,0,1,0,2025-05-02,11:48:00,1.0,
566.08,566.18,566.0601,566.1,34911.0,540.9092623743616,2025-05-02 11:49:00-04:00,0,1,0,2025-05-02,11:49:00,1.0,
566.08,566.22,566.02,566.17,57828.0,540.9113852567374,2025-05-02 11:50:00-04:00,0,1,0,2025-05-02,11:50:00,1.0,
566.165,566.22,565.83,565.85,59718.0,540.9135493781546,2025-05-02 11:51:00-04:00,0,1,0,2025-05-02,11:51:00,1.0,
565.845,565.85,565.575,565.75,96083.0,540.9170165829566,2025-05-02 11:52:00-04:00,0,1,0,2025-05-02,11:52:00,1.0,
565.76,566.14,565.75,566.06,54098.0,540.9189926755671,2025-05-02 11:53:00-04:00,0,1,0,2025-05-02,11:53:00,1.0,
566.0601,566.08,565.7705,565.8102,69358.0,540.9215005630052,2025-05-02 11:54:00-04:00,0,1,0,2025-05-02,11:54:00,1.0,
565.82,566.1356,565.81,566.08,39786.0,540.9229545329508,2025-05-02 11:55:00-04:00,0,1,0,2025-05-02,11:55:00,1.0,
