Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-04-23,24.51557679448809,24.58547152519226,24.428208381107876,24.46315574645996,106000,23,4,16,4,1993
1993-04-26,24.480638401039734,24.56800684643959,24.201059375760195,24.270954132080078,62600,26,0,17,4,1993
1993-04-27,24.235997930890814,24.533050537109375,24.235997930890814,24.533050537109375,156800,27,1,17,4,1993
1993-04-28,24.4981083757617,24.55052943505363,24.44568731646977,24.480634689331055,85900,28,2,17,4,1993
1993-04-29,24.533058670792244,24.585479736328125,24.393269162696562,24.585479736328125,85000,29,3,17,4,1993
1993-04-30,24.67284915293253,24.760217598941498,24.62042808532715,24.62042808532715,88500,30,4,17,4,1993
1993-05-03,24.6553655753519,24.777681350708004,24.550523482189526,24.777681350708008,80500,3,0,18,5,1993
1993-05-04,24.830126759039207,24.95244265440393,24.795179360363573,24.865074157714844,149100,4,1,18,5,1993
1993-05-05,24.86503801299044,25.022301078427482,24.86503801299044,24.934932708740234,109000,5,2,18,5,1993
1993-05-06,24.900002922186875,24.91747660844806,24.83010817714214,24.84758186340332,54700,6,3,18,5,1993
1993-05-07,24.8650626880842,24.8650626880842,24.76022054041835,24.795167922973633,68000,7,4,18,5,1993
1993-05-10,24.83010817714214,24.987371353492794,24.83010817714214,24.84758186340332,113900,10,0,19,5,1993
1993-05-11,24.847594277197572,24.952436447143555,24.777699497233584,24.952436447143555,42600,11,1,19,5,1993
1993-05-12,24.84758571287693,24.93495415771827,24.84758571287693,24.91748046875,31000,12,2,19,5,1993
1993-05-13,24.812638666546878,24.812638666546878,24.602954396125355,24.62042808532715,129100,13,3,19,5,1993
1993-05-14,24.620430462739684,24.69032522629608,24.585483080961488,24.602956771850586,63500,14,4,19,5,1993
1993-05-17,24.672854904747144,24.69032859802246,24.568012745095245,24.69032859802246,34000,17,0,20,5,1993
1993-05-18,24.707793214165793,24.725266901021637,24.585477406174874,24.6728458404541,105200,18,1,20,5,1993
1993-05-19,24.672845680295055,25.179582595825195,24.515582499613288,25.179582595825195,50200,19,2,20,5,1993
1993-05-20,25.179578835246474,25.249473571777344,25.127157782848318,25.249473571777344,98200,20,3,20,5,1993
1993-05-21,25.2669591157796,25.301906500448727,25.004853730761138,25.022327423095703,221400,21,4,20,5,1993
1993-05-24,25.07474187020632,25.21453137192176,25.07474187020632,25.12716293334961,30500,24,0,21,5,1993
1993-05-25,25.23200365605245,25.23200365605245,25.179582595825195,25.179582595825195,191800,25,1,21,5,1993
1993-05-26,25.249489816269538,25.511595246888252,25.232016120894958,25.494121551513672,102400,26,2,21,5,1993
1993-05-27,25.529042578465017,25.529042578465017,25.37177948249911,25.406726837158203,53800,27,3,21,5,1993
1993-05-28,25.389271690669187,25.389271690669187,25.16211371958956,25.2844295501709,79100,28,4,21,5,1993
1993-06-01,25.37178009785176,25.61641158639854,25.33683274234508,25.529043197631836,28300,1,1,22,6,1993
1993-06-02,25.459174160764512,25.58149002838658,25.354331988517025,25.494121551513672,20300,2,2,22,6,1993
