residuals,y_pred
-82783112.0,264750912.0
-26349400.0,234003600.0
-2631816.5,6587316.5
-9597340.0,67106240.0
-1159702.0,7206702.0
286305.0,9345195.0
87609096.0,91136304.0
-4383334.0,21868934.0
-32046328.0,137243328.0
3580284.0,33758516.0
4465868.0,25330232.0
11105172.0,102958728.0
20895324.0,42642676.0
26404552.0,195924448.0
-4725358.0,23843958.0
-139496.0,102177496.0
-1444020.0,59774020.0
-20621264.0,104054264.0
-1316380.875,1406280.875
22560200.0,202938000.0
-612871.4375,630571.4375
-2906019.0,7347519.0
-4498746.0,13533046.0
-429883.3125,845483.3125
2155844.0,9395856.0
-252397.75,3819897.75
-5942644.0,60719544.0
-16058280.0,74346680.0
-388664.0,100607664.0
-3223048.0,67573048.0
-499467.875,612367.875
-3931268.0,17611568.0
1739076.0,87324224.0
136931.765625,-107631.765625
-873293.125,1524093.125
-9368316.0,54873616.0
-6470724.0,116015824.0
-13401358.0,31988858.0
-411899.0625,1017599.0625
232592184.0,100852216.0
15625324.0,50172276.0
-8797512.0,84221512.0
-24097852.0,129113952.0
-20538536.0,62354636.0
-12767656.0,126189856.0
4695748.0,98775352.0
-255993.0,4521493.0
-2177259.0,10925259.0
-1959783.5,7750883.5
-11904364.0,162954464.0
-322963.5,2145663.5
-685797.0625,990997.0625
-163756.90625,517556.90625
4204744.0,157854256.0
-47943884.0,110933584.0
-2083460.0,156328960.0
712490.8125,-560690.8125
2833921.0,9502979.0
-7784224.0,93378024.0
-28016020.0,162201520.0
-3313437.0,7639037.0
3145784.0,67269616.0
-35166864.0,128766864.0
2777272.0,69625328.0
-19917160.0,123120160.0
-7443884.0,47472584.0
-3390920.0,56511120.0
188960.0,9852840.0
32282320.0,137623680.0
-1292498.0,1424598.0
-1581714.5,3376514.5
8041183.0,16707317.0
27930356.0,301635744.0
-8382656.0,78884856.0
49553536.0,61081264.0
-8493632.0,48911832.0
-10758256.0,48175056.0
1815016.0,194257584.0
24895604.0,84899296.0
-698545.125,1000945.125
-21155444.0,91312544.0
8109948.0,60991452.0
1446460.0,37254740.0
3878824.0,66677676.0
2771288.0,67869712.0
-21726512.0,71773312.0
-17287260.0,78384960.0
10081000.0,72481600.0
56157188.0,69853912.0
6300610.0,4306190.0
30453688.0,74363712.0
-45017244.0,329118944.0
-10114656.0,51266756.0
1239004.0,63455596.0
-7909344.0,64717944.0
503504.0,84475496.0
47445752.0,218447248.0
1111604.0,113401896.0
112164.0,74766936.0
-22719232.0,63351132.0
12868796.0,42714904.0
14026624.0,124736176.0
-13341836.0,60790536.0
19553280.0,65461620.0
-15920220.0,82385120.0
-8601552.0,107743352.0
-20817396.0,280916096.0
-7446368.0,59599568.0
-57521196.0,429164096.0
-45540572.0,346411072.0
-17130080.0,63884580.0
-431811.375,565811.375
-11782708.0,103245208.0
-21715812.0,93724512.0
77530112.0,105948888.0
18362956.0,31056144.0
-1309064.0,152804864.0
-347044.75,2343544.75
-1418623.25,1731923.25
-55028948.0,392503648.0
1633546.0,2742454.0
113622708.0,212168192.0
-15705980.0,175201680.0
-9669912.0,74556912.0
476399.5,7205600.5
-29400612.0,216680112.0
-643665.6875,686265.6875
-4126192.0,12390092.0
19193252.0,77768648.0
-18478552.0,195181552.0
40226552.0,172602048.0
-1347214.5,7256314.5
103440416.0,100020184.0
-449984.0,666284.0
-12512584.0,74552984.0
-14160840.0,62562640.0
-1013882.0,30957982.0
-7412952.0,136017952.0
16557268.0,68989232.0
-14525636.0,69924936.0
-1791356.0,17779456.0
-7644220.0,68957720.0
1226448.0,95212152.0
-37043956.0,156129456.0
7468040.0,55413960.0
1385998.6875,-975698.6875
-55150036.0,198722336.0
-37140676.0,162487376.0
-23288084.0,99986384.0
10840776.0,123203824.0
3634820.0,24188880.0
27930792.0,114571008.0
2321552.0,74968248.0
-6009084.0,88177384.0
-1966016.0,92371216.0
-9759908.0,94614608.0
-34158540.0,122379040.0
5602568.0,58701432.0
-573019.5,643919.5
76393.58984375,42806.41015625
-1499864.0,16171864.0
12151312.0,25920988.0
5413327.0,14966473.0
-22840228.0,132985928.0
-20495144.0,78621144.0
-5357492.0,9366292.0
-3100166.0,22430966.0
44704800.0,263328000.0
-17283572.0,64426172.0
31212228.0,82413072.0
-161660.75,1294760.75
-14752704.0,37435504.0
660244.34375,459955.65625
-28624044.0,135571744.0
2008596.0,110420704.0
14517044.0,24750456.0
-803330.125,1064830.125
78466712.0,208081088.0
36706676.0,85640224.0
3181835.5,5031364.5
-839340.1875,961240.1875
-6205240.0,87061040.0
-34122936.0,133617936.0
734918.0,5601382.0
8876548.0,105244752.0
4950452.0,33600948.0
-11499104.0,69304504.0
-9580340.0,59955740.0
-514352.0,10453852.0
-2181625.5,6267325.5
13039892.0,56613508.0
-2946700.0,39098700.0
-40046864.0,115921464.0
-85650432.0,267567632.0
30847168.0,77181032.0
14018824.0,53302776.0
-28137360.0,204022160.0
-27320820.0,73666320.0
-3869508.0,43021608.0
895288.0,57138812.0
1961532.0,55877468.0
353625.6328125,-111825.6328125
-18525148.0,58367248.0
1231852.0,9918148.0
-2345964.0,58216564.0
-11969148.0,270566048.0
18416576.0,144978624.0
-2656412.0,80853512.0
-71899.5,8234699.5
-21472.0,5369172.0
218888.28125,-138988.28125
-20015584.0,73587384.0
-2078392.0,86100592.0
-26345308.0,100211408.0
-4682596.0,63202796.0
-4871000.0,130872800.0
-3631937.0,11384337.0
-235688.59375,367388.59375
-525446.875,736046.875
-2723536.0,165297536.0
1283396.0,198332704.0
-14016536.0,101507936.0
-131143.0,6697443.0
-3641992.0,46174892.0
13807300.0,43616300.0
-55762904.0,150868304.0
-13457876.0,57450576.0
28748776.0,186561824.0
-1086928.125,1198528.125
-33774612.0,140916112.0
-88280476.0,356303776.0
-1235748.875,1463848.875
-27090736.0,53548636.0
-1524283.75,2637183.75
-72240.25,1133040.25
4031820.0,85057280.0
289310.0,9473590.0
-15677360.0,82803960.0
-558143.0,8074243.0
50712636.0,72234464.0
-215442.09375,443042.09375
-22818156.0,72763456.0
-45776204.0,105533504.0
-367444.46875,457244.46875
-1432818.0,31603218.0
